topic,rank,word,phi,raw_weight
T0,1,수상,0.0203692,203.1000
T0,2,부문,0.00956547,95.3767
T0,3,올해,0.00662926,66.0999
T0,4,박서진,0.00615381,61.3593
T0,5,시상식,0.00592721,59.0999
T0,6,에서,0.00578334,57.6654
T0,7,8월,0.00555426,55.3812
T0,8,팬덤,0.00537762,53.6200
T0,9,아티스트,0.00471932,47.0560
T0,10,10월,0.00445584,44.4289
T0,11,어워즈,0.00422227,42.1000
T0,12,한국,0.00412151,41.0953
T0,13,대상,0.00408508,40.7321
T0,14,베스트,0.0038211,38.0999
T0,15,입증,0.00377796,37.6698
T0,16,뮤직,0.00376734,37.5639
T0,17,2016년,0.00368531,36.7460
T0,18,신인상,0.00362052,36.1000
T0,19,2023년,0.00358924,35.7881
T0,20,이름,0.00349749,34.8733
T0,21,그룹,0.00348869,34.7856
T0,22,트로트,0.00323999,32.3057
T0,23,파워,0.00321935,32.0999
T0,24,으로,0.00306569,30.5678
T0,25,스타뉴스,0.00305578,30.4690
T0,26,어워드,0.00301877,30.1000
T0,27,최종,0.00296518,29.5657
T0,28,2020년,0.00296221,29.5360
T0,29,골든디스크,0.00291848,29.1000
T0,30,mama,0.00291437,29.0590
T0,31,2008년,0.00278454,27.7645
T0,32,브랜드평판,0.00275537,27.4737
T0,33,달러,0.00273628,27.2833
T0,34,2026년,0.00270054,26.9269
T0,35,올랐,0.00264567,26.3798
T0,36,분석,0.00263581,26.2816
T0,37,데뷔,0.00255798,25.5055
T0,38,보도,0.00250439,24.9711
T0,39,인기,0.00247707,24.6988
T0,40,가수,0.00238261,23.7569
T0,41,동방신기,0.00237433,23.6743
T0,42,투표,0.00237246,23.6557
T0,43,nhk,0.00231673,23.1000
T0,44,이어,0.00230261,22.9592
T0,45,2003년,0.00230138,22.9469
T0,46,kbs,0.00227778,22.7116
T0,47,평가,0.00222682,22.2035
T0,48,홍백가합전,0.00221644,22.1000
T0,49,최초,0.0022131,22.0667
T0,50,음반,0.00220579,21.9938
T1,1,드라마,0.028786,349.1000
T1,2,ost,0.0240034,291.1000
T1,3,유튜브,0.0130995,158.8637
T1,4,채널,0.0112743,136.7282
T1,5,참여,0.00978101,118.6186
T1,6,따르면,0.00909716,110.3252
T1,7,영화,0.0088689,107.5571
